champion,reigns,total_days,total_matches
Zeljko Franulovic,5,21,7
Allan Stone,3,20,7
Patrice Dominguez,2,20,5
Lloyd Bourne,2,19,3
Onny Parun,1,19,5
Bill Bowrey,2,17,6
Felix Auger Aliassime,1,17,3
Rick Fagel,1,16,2
Chris Guccione,1,15,3
Albert Montanes,1,14,3
Andrey Rublev,1,14,8
Borna Coric,1,14,5
Byron Black,1,14,6
Carlos Costa,1,14,7
Dustin Brown,1,14,3
Felix Mantilla,3,14,7
Gene Mayer,1,14,6
Giovanni Mpetshi Perricard,2,14,1
Grant Stafford,1,14,4
Guy Forget,1,14,2
Hicham Arazi,3,14,6
Jamie Morgan,1,14,6
Jannik Sinner,1,14,7
Jim Grabb,1,14,8
Joakim Nystrom,2,14,3
Johan Kriek,3,14,6
Jonathan Stark,1,14,3
Jose Acasuso,1,14,6
Jose Higueras,1,14,8
Julien Boutter,1,14,5
Karel Novacek,3,14,6
Karim Alami,2,14,3
Kent Carlsson,1,14,4
Mark Philippoussis,1,14,5
Markus Hipfl,1,14,1
Max Mirnyi,2,14,10
Mikael Ymer,1,14,2
Paolo Lorenzi,1,14,2
Pat Dupre,2,14,8
Patrick McEnroe,2,14,1
Richard Fromberg,1,14,2
Sam Querrey,3,14,6
Sebastian Korda,1,14,4
Thierry Champion,2,14,3
Todd Martin,5,14,5
Tomas Smid,2,14,6
Ugo Humbert,1,14,1
Ulf Stenlund,1,14,2
Cedric Pioline,5,13,9
Thomas Lejus,1,13,2
Charlie Pasarell,2,12,3
Robert Lutz,1,12,10
Dennis Ralston,1,10,4
Earl Butch Buchholz,1,10,6
Owen Davidson,1,10,3
Ismail El Shafei,1,9,2
Jakob Hlasek,1,9,5
Ernests Gulbis,2,8,2
Albert Costa,1,7,4
Alberto Mancini,1,7,3
Alejandro Davidovich Fokina,2,7,6
Alex Corretja,2,7,6
Andres Gomez,1,7,5
Bernard Tomic,1,7,2
Bernd Karbacher,2,7,2
Bohdan Ulihrach,1,7,6
Brandon Nakashima,1,7,3
Brett Steven,2,7,3
Bruce Manson,1,7,3
Carl Uwe Steeb,2,7,5
Claudio Mezzadri,1,7,2
Cliff Richey,3,7,5
Corrado Barazzutti,1,7,3
