date,match_date,from,to,tournament,score
19700622,1970-06-22,Ken Rosewall,John Newcombe,Wimbledon,5-7 6-3 6-3 3-6 6-1
19700705,1970-07-05,John Newcombe,Ken Rosewall,Newport,6-4 6-4
19700716,1970-07-16,Ken Rosewall,Rod Laver,Champions Classic,6-4 6-3 6-3
19700809,1970-08-09,Rod Laver,Tony Roche,Boston,3-6 6-4 1-6 6-2 6-2
19700817,1970-08-17,Tony Roche,Ilie Nastase,Hamburg,3-6 7-5 6-1 6-4
19700817,1970-08-17,Ilie Nastase,Tom Okker,Hamburg,4-6 6-3 6-3 6-4
19700902,1970-09-02,Tom Okker,Arthur Ashe,US Open,6-4 6-7 6-2 6-3
19700902,1970-09-02,Arthur Ashe,John Newcombe,US Open,6-1 7-6 5-7 7-6
19700902,1970-09-02,John Newcombe,Ken Rosewall,US Open,6-3 6-4 6-3
19701003,1970-10-03,Ken Rosewall,Zeljko Franulovic,Barcelona,10-8 7-5 6-3
19701101,1970-11-01,Zeljko Franulovic,Cliff Richey,Stockholm Open,6-1 8-10 6-3
19701108,1970-11-08,Cliff Richey,Bob Carmichael,Buenos Aires,7-6 5-7 6-4 6-3
19701108,1970-11-08,Bob Carmichael,Manuel Orantes,Buenos Aires,5-7 6-1 6-0 6-4
19701108,1970-11-08,Manuel Orantes,Zeljko Franulovic,Buenos Aires,6-4 6-2 6-0
19701109,1970-11-09,Zeljko Franulovic,Richard Gonzalez,Paris Indoor,6-1 6-3
19701116,1970-11-16,Richard Gonzalez,Ken Rosewall,Wembley,6-2 6-3
19701209,1970-12-09,Ken Rosewall,Rod Laver,Masters,5-6 6-3 6-5
19701209,1970-12-09,Rod Laver,Stan Smith,Masters,4-6 6-3 6-4
19710418,1971-04-18,Stan Smith,Arthur Ashe,Charlotte,6-3 6-3
19710424,1971-04-24,Arthur Ashe,John Newcombe,Boston,6-4 3-6 6-3
19710503,1971-05-03,John Newcombe,Jan Kodes,Rome,2-6 6-1 7-5
19710503,1971-05-03,Jan Kodes,Rod Laver,Rome,7-5 6-3 6-3
19710515,1971-05-15,Rod Laver,Marty Riessen,Tehran WCT,6-4 6-4
19710521,1971-05-21,Marty Riessen,Frank Froehling,Roland Garros,1-6 2-6 6-3 6-4 6-2
19710521,1971-05-21,Frank Froehling,Ilie Nastase,Roland Garros,6-0 2-6 6-4 6-3
19710521,1971-05-21,Ilie Nastase,Jan Kodes,Roland Garros,8-6 6-2 2-6 7-5
19710614,1971-06-14,Jan Kodes,Jean Loup Rouyer,Eastbourne,W/O
19710621,1971-06-21,Jean Loup Rouyer,Onny Parun,Wimbledon,6-2 2-6 6-2 6-3
19710621,1971-06-21,Onny Parun,Stan Smith,Wimbledon,8-6 6-3 6-4
19710710,1971-07-10,Stan Smith,Manuel Santana,Bastad,6-2 4-6 6-4 6-2
19711018,1971-10-18,Manuel Santana,Allan Stone,Barcelona WCT,W/O
19711018,1971-10-18,Allan Stone,Fred Stolle,Barcelona WCT,7-6 6-3
19711018,1971-10-18,Fred Stolle,Martin Mulligan,Barcelona WCT,6-4 6-3
19720408,1972-04-08,Martin Mulligan,Cliff Richey,Johannesburg,3-6 6-1 6-4 6-2
19720423,1972-04-23,Cliff Richey,Ken Rosewall,Charlotte WCT,2-6 6-2 6-2
19720430,1972-04-30,Ken Rosewall,Roy Emerson,Denver WCT,7-6 6-7 6-4
19720501,1972-05-01,Roy Emerson,Ismail El Shafei,Las Vegas WCT,6-2 6-2
19720501,1972-05-01,Ismail El Shafei,Tom Okker,Las Vegas WCT,7-6 6-4
19720510,1972-05-10,Tom Okker,Arthur Ashe,Dallas WCT,6-4 6-1 6-3
19720510,1972-05-10,Arthur Ashe,Ken Rosewall,Dallas WCT,6-4 6-2 7-6
19720701,1972-07-01,Ken Rosewall,Roger Taylor,St. Louis WCT,W/O
19720706,1972-07-06,Roger Taylor,Charlie Pasarell,Boston WCT,7-6 6-4
19720709,1972-07-09,Charlie Pasarell,Jeff Borowiak,Bretton Woods,6-3 6-2
19720712,1972-07-12,Jeff Borowiak,Roger Taylor,Washington WCT,3-6 7-6 6-3
19720729,1972-07-29,Roger Taylor,Bob Lutz,Louisville WCT,4-6 6-2 6-1
19720729,1972-07-29,Bob Lutz,Marty Riessen,Louisville WCT,6-2 6-7 6-4
19720813,1972-08-13,Marty Riessen,Cliff Drysdale,Cleveland WCT,6-3 6-3
19720813,1972-08-13,Cliff Drysdale,Mark Cox,Cleveland WCT,3-6 6-3 7-6
19720820,1972-08-20,Mark Cox,John Alexander,Fort Worth WCT,6-4 6-3
19720820,1972-08-20,John Alexander,John Newcombe,Fort Worth WCT,4-6 6-3 6-4
19720830,1972-08-30,John Newcombe,Fred Stolle,US Open,7-6 6-4 5-7 7-6
19720830,1972-08-30,Fred Stolle,Ilie Nastase,US Open,6-4 3-6 6-3 6-2
19720918,1972-09-18,Ilie Nastase,Roscoe Tanner,Los Angeles WCT,5-7 6-4 6-2
19720918,1972-09-18,Roscoe Tanner,Stan Smith,Los Angeles WCT,6-4 6-4
19721023,1972-10-23,Stan Smith,Manuel Orantes,Barcelona,9-7 7-9 7-5 6-1
19721128,1972-11-28,Manuel Orantes,Ilie Nastase,Masters,6-3 6-4
19730116,1973-01-16,Ilie Nastase,Ove Bengtson,Jacksonville,7-6 7-5
19730122,1973-01-22,Ove Bengtson,Cliff Richey,Lacosta WCT,6-2 7-6(4)
19730122,1973-01-22,Cliff Richey,Phil Dent,Lacosta WCT,6-4 7-5
19730122,1973-01-22,Phil Dent,Roy Emerson,Lacosta WCT,6-4 6-7(6) 6-3
19730122,1973-01-22,Roy Emerson,Stan Smith,Lacosta WCT,7-5 2-6 6-4
19730129,1973-01-29,Stan Smith,John Alexander,Richmond WCT,4-6 6-3 6-4
19730129,1973-01-29,John Alexander,Rod Laver,Richmond WCT,7-6(3) 6-3
19730206,1973-02-06,Rod Laver,Robert Maud,Philadelphia WCT,6-4 4-6 7-6(6)
19730206,1973-02-06,Robert Maud,Stan Smith,Philadelphia WCT,6-1 6-3 6-4
19730211,1973-02-11,Stan Smith,Rod Laver,Toronto WCT,4-6 6-3 7-6(4)
19730319,1973-03-19,Rod Laver,Stan Smith,Atlanta WCT,6-3 6-4
19730414,1973-04-14,Stan Smith,Charlie Pasarell,Johannesburg WCT,6-2 6-2
19730414,1973-04-14,Charlie Pasarell,Ove Bengtson,Johannesburg WCT,7-6(6) 4-6 6-4
19730423,1973-04-23,Ove Bengtson,Stan Smith,Gothenberg WCT,6-2 6-4
19730514,1973-05-14,Stan Smith,Raymond Moore,Las Vegas,7-6 6-3
19730521,1973-05-21,Raymond Moore,Szabolcz Baranyi,Roland Garros,6-4 3-6 6-3
19730602,1973-06-02,Szabolcz Baranyi,Martin Mulligan,Rome,6-4 6-2
19730602,1973-06-02,Martin Mulligan,Peter Szoke,Rome,7-5 6-1
19730611,1973-06-11,Peter Szoke,John Alexander,Hamburg,6-4 6-4
19730617,1973-06-17,John Alexander,Roger Taylor,Queen's Club,6-4 9-7
19730625,1973-06-25,Roger Taylor,Jan Kodes,Wimbledon,8-9 9-7 5-7 6-4 7-5
19730829,1973-08-29,Jan Kodes,John Newcombe,US Open,6-4 1-6 4-6 6-2 6-3
19730910,1973-09-10,John Newcombe,Rod Laver,World Invitational Classic,6-3 7-5
19731008,1973-10-08,Rod Laver,Barry Phillips Moore,Barcelona,6-3 7-5
19731008,1973-10-08,Barry Phillips Moore,Jan Kodes,Barcelona,7-5 2-6 6-4
19731021,1973-10-21,Jan Kodes,Nicola Spear,Madrid,6-3 6-3
19731028,1973-10-28,Nicola Spear,Jan Kodes,Prague,W/O
19731028,1973-10-28,Jan Kodes,Jiri Hrebec,Prague,4-6 6-1 3-6 6-0 7-5
19740121,1974-01-21,Jiri Hrebec,Bjorn Borg,Philadelphia WCT,W/O
19740121,1974-01-21,Bjorn Borg,Tony Roche,Philadelphia WCT,7-6(4) 7-6(5)
19740129,1974-01-29,Tony Roche,Patrice Dominguez,Richmond-WCT,7-5 6-3
19740129,1974-01-29,Patrice Dominguez,Tom Gorman,Richmond-WCT,2-6 6-3 6-2
19740211,1974-02-11,Tom Gorman,Ray Ruffels,Toronto WCT,7-6(6) 1-6 6-3
19740303,1974-03-03,Ray Ruffels,Tom Gorman,Miami WCT,2-6 6-4 6-1
19740311,1974-03-11,Tom Gorman,Tom Okker,Washington WCT,6-4 7-6
19740330,1974-03-30,Tom Okker,Arthur Ashe,Tuscon,6-1 6-4
19740330,1974-03-30,Arthur Ashe,John Newcombe,Tuscon,6-3 7-6
19740331,1974-03-31,John Newcombe,Dick Stockton,Atlanta WCT,7-6(4) 6-4
19740407,1974-04-07,Dick Stockton,Bob Lutz,New Orleans WCT,7-6 6-1
19740407,1974-04-07,Bob Lutz,John Newcombe,New Orleans WCT,6-4 7-5
19740415,1974-04-15,John Newcombe,Jeff Borowiak,Charlotte,6-2 6-4
19740422,1974-04-22,Jeff Borowiak,Dick Crealy,St. Louis,6-1 7-6(6)
19740422,1974-04-22,Dick Crealy,Stan Smith,St. Louis,6-2 6-7(2) 7-6(3)
19740508,1974-05-08,Stan Smith,John Newcombe,Dallas WCT,6-1 3-6 7-6(3) 6-2
19740513,1974-05-13,John Newcombe,Marty Riessen,Las Vegas,7-6 6-3
19740513,1974-05-13,Marty Riessen,Rod Laver,Las Vegas,6-2 6-2
19741029,1974-10-29,Rod Laver,Ilie Nastase,World Invitational Classic,6-3 6-4
19741116,1974-11-16,Ilie Nastase,Brian Gottfried,London,6-2 6-4
19741116,1974-11-16,Brian Gottfried,Jimmy Connors,London,6-2 7-6
19741221,1974-12-21,Jimmy Connors,John Newcombe,Australian Open,7-5 3-6 6-4 7-6
19750306,1975-03-06,John Newcombe,Dick Stockton,Hartford,4-6 6-4 6-2
19750306,1975-03-06,Dick Stockton,Rod Laver,Hartford,5-7 6-4 7-6
19750331,1975-03-31,Rod Laver,Ilie Nastase,Tuscon,6-3 3-6 6-2
19750331,1975-03-31,Ilie Nastase,John Alexander,Tuscon,7-5 6-2
19750414,1975-04-14,John Alexander,Bob Lutz,Tokyo Indoor,6-3 6-4
19750421,1975-04-21,Bob Lutz,Harold Solomon,Houston,6-2 6-3
19750421,1975-04-21,Harold Solomon,Ken Rosewall,Houston,6-4 6-7(4) 6-4
19750512,1975-05-12,Ken Rosewall,Roscoe Tanner,Las Vegas,6-2 7-6
19750604,1975-06-04,Roscoe Tanner,John Andrews,Roland Garros,3-6 3-6 6-3 6-4 6-4
19750616,1975-06-16,John Andrews,Sherwood Stewart,Nottingham,6-2 2-6 6-3
19750623,1975-06-23,Sherwood Stewart,Mike Estep,Wimbledon,2-6 8-6 8-9 6-4 8-6
19750623,1975-06-23,Mike Estep,Roscoe Tanner,Wimbledon,9-8 6-4 6-2
19750721,1975-07-21,Roscoe Tanner,Eddie Dibbs,Washington,7-5 6-4
19750721,1975-07-21,Eddie Dibbs,Raul Ramirez,Washington,6-4 7-6
19750804,1975-08-04,Raul Ramirez,Ricardo Cano,Indianapolis,6-3 7-6
