date,match_date,from,to,tournament,score
19791029,1979-10-29,Zeljko Franulovic,Gene Mayer,Cologne,6-1 6-2
19791105,1979-11-05,Gene Mayer,John McEnroe,Stockholm,6-7 6-3 6-3
19791119,1979-11-19,John McEnroe,Butch Walts,Bologna,6-4 6-7 6-3
19800114,1980-01-14,Butch Walts,Jimmy Connors,Birmingham,6-3 6-3
19800219,1980-02-19,Jimmy Connors,Bjorn Borg,WCT Invitational,6-3 6-1
19800505,1980-05-05,Bjorn Borg,Guillermo Vilas,Nations Cup,6-3 1-6 6-1
19800512,1980-05-12,Guillermo Vilas,Harold Solomon,Hamburg,6-7 6-2 6-4 2-6 6-3
19800526,1980-05-26,Harold Solomon,Bjorn Borg,Roland Garros,6-2 6-2 6-0
19800811,1980-08-11,Bjorn Borg,Ivan Lendl,Montreal / Toronto,4-6 5-4 RET
19800818,1980-08-18,Ivan Lendl,Jimmy Connors,Cincinnati,6-2 6-0
19800826,1980-08-26,Jimmy Connors,John McEnroe,US Open,6-4 5-7 0-6 6-3 7-6
19800922,1980-09-22,John McEnroe,Johan Kriek,San Francisco,7-6 6-3
19800929,1980-09-29,Johan Kriek,Mel Purcell,Maui,7-5 6-2
19800929,1980-09-29,Mel Purcell,Tim Wilkison,Maui,6-1 1-6 6-1
19801013,1980-10-13,Tim Wilkison,Ken Rosewall,Sydney Indoor,6-4 7-5
19801020,1980-10-20,Ken Rosewall,Paul Mcnamee,Melbourne Indoor,6-0 6-3
19801020,1980-10-20,Paul Mcnamee,Vitas Gerulaitis,Melbourne Indoor,6-2 6-3
19801027,1980-10-27,Vitas Gerulaitis,Paul Mcnamee,Tokyo Indoor,6-4 6-1
19801027,1980-10-27,Paul Mcnamee,Tom Gullikson,Tokyo Indoor,6-3 2-6 7-6
19801103,1980-11-03,Tom Gullikson,Jaime Fillol,Hong Kong,3-6 6-3 6-3
19801110,1980-11-10,Jaime Fillol,Pat Dupre,Taipei,6-0 6-3
19801110,1980-11-10,Pat Dupre,Ramesh Krishnan,Taipei,1-6 6-3 6-3
19801117,1980-11-17,Ramesh Krishnan,Vijay Amritraj,Bangkok,6-1 6-4
19801124,1980-11-24,Vijay Amritraj,Pedro Rebolledo,Santiago,6-3 6-2
19810126,1981-01-26,Pedro Rebolledo,Eddie Dibbs,Vina del Mar,6-3 6-2
19810126,1981-01-26,Eddie Dibbs,Victor Pecci,Vina del Mar,6-1 3-6 7-6
19810202,1981-02-02,Victor Pecci,Guillermo Vilas,Mar Del Plata,2-6 6-3 2-1 RET
19810213,1981-02-13,Guillermo Vilas,John McEnroe,Pepsi Grand Slam,6-7 6-4 6-0
19810223,1981-02-23,John McEnroe,Trey Waltke,Memphis,6-3 6-4
19810309,1981-03-09,Trey Waltke,Fritz Buehning,Brussels,6-1 6-2
19810309,1981-03-09,Fritz Buehning,Jimmy Connors,Brussels,6-3 7-5
19810511,1981-05-11,Jimmy Connors,Peter Mcnamara,Hamburg,7-6 6-1 4-6 6-4
19810518,1981-05-18,Peter Mcnamara,Victor Pecci,Rome,6-2 5-7 7-6
19810525,1981-05-25,Victor Pecci,Bjorn Borg,Roland Garros,6-4 6-4 7-5
19810622,1981-06-22,Bjorn Borg,John McEnroe,Wimbledon,4-6 7-6 7-6 6-4
19810810,1981-08-10,John McEnroe,Vijay Amritraj,Montreal / Toronto,5-7 7-6 6-1
19810817,1981-08-17,Vijay Amritraj,Bill Scanlon,Cincinnati,6-4 7-5
19810817,1981-08-17,Bill Scanlon,Chris Lewis,Cincinnati,6-3 1-6 6-3
19810817,1981-08-17,Chris Lewis,John McEnroe,Cincinnati,6-3 6-4
19810921,1981-09-21,John McEnroe,Bill Scanlon,San Francisco,3-6 7-6 6-2
19810921,1981-09-21,Bill Scanlon,Eliot Teltscher,San Francisco,6-0 6-3
19811012,1981-10-12,Eliot Teltscher,John McEnroe,Sydney Indoor,7-5 7-6
19811026,1981-10-26,John McEnroe,Vincent Van Patten,Tokyo Indoor,6-3 7-5
19811102,1981-11-02,Vincent Van Patten,Chris Lewis,Hong Kong,6-1 2-6 6-1
19811102,1981-11-02,Chris Lewis,Tim Gullikson,Hong Kong,7-6 6-3
19811109,1981-11-09,Tim Gullikson,Mark Edmondson,Taipei,6-3 3-6 6-4
19811109,1981-11-09,Mark Edmondson,Pat Dupre,Taipei,6-3 3-6 6-4
19811109,1981-11-09,Pat Dupre,Robert Vant Hof,Taipei,7-5 6-2
19811116,1981-11-16,Robert Vant Hof,Chris Lewis,Bangkok,6-2 6-3
19811214,1981-12-14,Chris Lewis,Tim Wilkison,Sydney Outdoor,6-4 7-6 6-3
19811224,1981-12-24,Tim Wilkison,Robert Vant Hof,Australian Open,6-3 6-3 1-6 4-6 6-3
19811224,1981-12-24,Robert Vant Hof,Tim Mayotte,Australian Open,7-6 6-3 6-3
19820104,1982-01-04,Tim Mayotte,Steve Krulevitz,Adelaide-2,2-6 7-5 6-2
19820111,1982-01-11,Steve Krulevitz,Lloyd Bourne,Auckland,6-4 6-3
19820222,1982-02-22,Lloyd Bourne,John Alexander,Monterrey,6-0 6-4
19820313,1982-03-13,John Alexander,Pavel Slozil,Rotterdam,4-6 6-0 6-3
19820329,1982-03-29,Pavel Slozil,Tomas Smid,Frankfurt,6-3 6-2
19820405,1982-04-05,Tomas Smid,Manuel Orantes,Monte Carlo,6-4 6-3
19820412,1982-04-12,Manuel Orantes,Rod Frawley,Houston,7-6 6-2
19820425,1982-04-25,Rod Frawley,Brian Teacher,Las Vegas,1-6 6-3 6-2
19820425,1982-04-25,Brian Teacher,Mark Edmondson,Las Vegas,DEF
19820427,1982-04-27,Mark Edmondson,Chris Lewis,Hilton Head WCT,6-3 6-2
19820427,1982-04-27,Chris Lewis,Van Winitsky,Hilton Head WCT,6-4 6-4
19820502,1982-05-02,Van Winitsky,Tim Wilkison,Forest Hills WCT,6-2 2-6 6-2
19820607,1982-06-07,Tim Wilkison,Peter Johnston,Queen's Club,3-5 RET
19821004,1982-10-04,Peter Johnston,David Carter,Melbourne Indoor,6-4 6-2
19821004,1982-10-04,David Carter,Eliot Teltscher,Melbourne Indoor,6-4 6-3
19821004,1982-10-04,Eliot Teltscher,Vitas Gerulaitis,Melbourne Indoor,2-6 6-2 6-2
19821011,1982-10-11,Vitas Gerulaitis,Brad Gilbert,Sydney Indoor,6-3 6-4
19821011,1982-10-11,Brad Gilbert,Steve Denton,Sydney Indoor,6-7 6-3 6-3
19821025,1982-10-25,Steve Denton,John McEnroe,Tokyo Indoor,7-6 7-5
19830118,1983-01-18,John McEnroe,Ivan Lendl,Masters,6-4 6-4 6-2
19830131,1983-01-31,Ivan Lendl,John McEnroe,Philadelphia,4-6 7-6 6-4 6-3
19830207,1983-02-07,John McEnroe,Roscoe Tanner,Richmond WCT,6-3 5-7 6-2
19830207,1983-02-07,Roscoe Tanner,Steve Denton,Richmond WCT,6-2 6-4
19830214,1983-02-14,Steve Denton,Mike De Palmer,Memphis,6-4 6-3
19830214,1983-02-14,Mike De Palmer,Paul Mcnamee,Memphis,6-1 1-6 7-6
19830314,1983-03-14,Paul Mcnamee,Wojtek Fibak,Munich WCT,7-5 6-0
19830328,1983-03-28,Wojtek Fibak,Yannick Noah,Monte Carlo,6-2 2-6 6-4
19830404,1983-04-04,Yannick Noah,Mats Wilander,Lisbon,2-6 7-6 6-4
19830509,1983-05-09,Mats Wilander,Yannick Noah,Hamburg,6-4 6-4
19830808,1983-08-08,Yannick Noah,Peter Fleming,Montreal / Toronto,7-5 2-6 6-1
19830815,1983-08-15,Peter Fleming,Mel Purcell,Cincinnati,6-4 6-4
19830830,1983-08-30,Mel Purcell,Mark Dickson,US Open,6-3 6-2 6-4
19831010,1983-10-10,Mark Dickson,Marcos Hocevar,Basel,7-5 6-2
19831010,1983-10-10,Marcos Hocevar,Ricardo Acuna,Basel,7-6 6-7 6-3
19831010,1983-10-10,Ricardo Acuna,Victor Pecci,Basel,6-1 7-6
19831010,1983-10-10,Victor Pecci,Vitas Gerulaitis,Basel,7-6 6-3
19831024,1983-10-24,Vitas Gerulaitis,Brad Gilbert,Tokyo Indoor,6-3 2-6 7-5
19831024,1983-10-24,Brad Gilbert,Ivan Lendl,Tokyo Indoor,6-2 6-1
19831129,1983-11-29,Ivan Lendl,Mats Wilander,Australian Open,6-1 6-4 6-4
19840110,1984-01-10,Mats Wilander,John McEnroe,Masters,6-2 6-4
19840528,1984-05-28,John McEnroe,Ivan Lendl,Roland Garros,3-6 2-6 6-4 7-5 7-5
19840611,1984-06-11,Ivan Lendl,Leif Shiras,Queen's Club,7-5 6-3
19840618,1984-06-18,Leif Shiras,Miloslav Mecir,Bristol,6-3 1-6 6-4
19840625,1984-06-25,Miloslav Mecir,Danie Visser,Wimbledon,6-3 6-2 6-4
19840625,1984-06-25,Danie Visser,Jimmy Arias,Wimbledon,5-7 6-3 7-6 6-1
19840625,1984-06-25,Jimmy Arias,Tomas Smid,Wimbledon,7-5 6-4 6-3
19840716,1984-07-16,Tomas Smid,Henri Leconte,Stuttgart Outdoor,6-2 6-1
19840723,1984-07-23,Henri Leconte,Victor Pecci,Kitzbuhel,7-6 6-3
19840730,1984-07-30,Victor Pecci,Tim Wilkison,North Conway,7-5 6-4
19840806,1984-08-06,Tim Wilkison,Blaine Willenborg,Indianapolis,3-6 6-4 7-5
19840828,1984-08-28,Blaine Willenborg,Bill Scanlon,US Open,6-3 6-1 6-3
19840828,1984-08-28,Bill Scanlon,Mats Wilander,US Open,7-6 7-5 6-3
19840828,1984-08-28,Mats Wilander,Pat Cash,US Open,7-6 6-4 2-6 6-3
19840910,1984-09-10,Pat Cash,Lloyd Bourne,Los Angeles,7-5 6-3
19840910,1984-09-10,Lloyd Bourne,Peter Fleming,Los Angeles,7-5 6-1
19840910,1984-09-10,Peter Fleming,Ramesh Krishnan,Los Angeles,6-3 6-3
19840917,1984-09-17,Ramesh Krishnan,Brad Gilbert,San Francisco,6-0 7-6
19840917,1984-09-17,Brad Gilbert,John McEnroe,San Francisco,6-4 6-4
19850408,1985-04-08,John McEnroe,Joakim Nystrom,Dallas,6-4 7-6 6-3
19850408,1985-04-08,Joakim Nystrom,Tim Mayotte,Dallas,6-4 4-6 6-2 7-5
19850422,1985-04-22,Tim Mayotte,John McEnroe,Atlanta,6-3 3-6 6-2
19850506,1985-05-06,John McEnroe,Ivan Lendl,Forest Hills,6-3 6-3
19850520,1985-05-20,Ivan Lendl,Henri Leconte,Dusseldorf,3-6 6-4 6-4
19850527,1985-05-27,Henri Leconte,Mats Wilander,Roland Garros,6-4 7-6 6-7 7-5
19850624,1985-06-24,Mats Wilander,Slobodan Zivojinovic,Wimbledon,6-2 5-7 7-5 6-0
19850708,1985-07-08,Slobodan Zivojinovic,Tim Wilkison,Boston,6-7 6-3 6-4
19850805,1985-08-05,Tim Wilkison,Ivan Lendl,Stratton Mountain,6-4 6-4
19850805,1985-08-05,Ivan Lendl,John McEnroe,Stratton Mountain,7-6 6-2
19850827,1985-08-27,John McEnroe,Ivan Lendl,US Open,7-6 6-3 6-4
19851125,1985-11-25,Ivan Lendl,Stefan Edberg,Australian Open,6-7 7-5 6-1 4-6 9-7
19860114,1986-01-14,Stefan Edberg,Johan Kriek,Masters,6-2 4-6 6-2
19860203,1986-02-03,Johan Kriek,Stefan Edberg,Memphis,6-3 6-2
19860210,1986-02-10,Stefan Edberg,Mats Wilander,Boca West,6-4 1-0 RET
19860224,1986-02-24,Mats Wilander,Thierry Tulasne,La Quinta,6-4 6-3
19860224,1986-02-24,Thierry Tulasne,Yannick Noah,La Quinta,6-2 6-7 7-5
19860407,1986-04-07,Yannick Noah,Stefan Edberg,Dallas,6-3 7-6 7-6
19860421,1986-04-21,Stefan Edberg,Joakim Nystrom,Monte Carlo,7-5 4-6 6-3
19860505,1986-05-05,Joakim Nystrom,Guillermo Vilas,Forest Hills,6-3 6-7 6-2
19860505,1986-05-05,Guillermo Vilas,Yannick Noah,Forest Hills,7-6 6-0
19860512,1986-05-12,Yannick Noah,Ivan Lendl,Rome,1-6 6-2 7-6
19860623,1986-06-23,Ivan Lendl,Boris Becker,Wimbledon,6-4 6-3 7-5
19860804,1986-08-04,Boris Becker,Ivan Lendl,Stratton Mountain,6-4 7-6
19860811,1986-08-11,Ivan Lendl,Kevin Curren,Montreal / Toronto,7-6 7-6
19860818,1986-08-18,Kevin Curren,Mikael Pernfors,Cincinnati,6-1 6-0
19860826,1986-08-26,Mikael Pernfors,Andrei Chesnokov,US Open,6-4 4-6 4-6 6-3 6-4
19860826,1986-08-26,Andrei Chesnokov,Tim Wilkison,US Open,6-0 6-2 6-3
19861006,1986-10-06,Tim Wilkison,Michiel Schapers,Toulouse,6-3 7-6
19861013,1986-10-13,Michiel Schapers,Claudio Mezzadri,Basel,6-4 6-2
19861013,1986-10-13,Claudio Mezzadri,Stefan Edberg,Basel,6-1 6-4
19861020,1986-10-20,Stefan Edberg,Boris Becker,Tokyo Indoor,7-6 6-1
19861201,1986-12-01,Boris Becker,Ivan Lendl,Masters Dec,6-4 6-4 6-4
19870112,1987-01-12,Ivan Lendl,Pat Cash,Australian Open,7-6 5-7 7-6 6-4
19870112,1987-01-12,Pat Cash,Stefan Edberg,Australian Open,6-3 6-4 3-6 5-7 6-3
19870216,1987-02-16,Stefan Edberg,Boris Becker,Indian Wells,6-4 6-4 7-5
19870223,1987-02-23,Boris Becker,Derrick Rostagno,Key Biscayne,W/O
19870223,1987-02-23,Derrick Rostagno,Jimmy Connors,Key Biscayne,6-4 4-6 6-1 6-2
19870316,1987-03-16,Jimmy Connors,Christo Van Rensburg,Orlando,6-3 3-6 6-1
19870330,1987-03-30,Christo Van Rensburg,Eliot Teltscher,Chicago,6-3 6-2
19870330,1987-03-30,Eliot Teltscher,Tim Mayotte,Chicago,3-6 7-5 6-2
19870407,1987-04-07,Tim Mayotte,Stefan Edberg,Dallas WCT,6-2 7-5 6-7 3-6 6-1
19870420,1987-04-20,Stefan Edberg,Ulf Stenlund,Monte Carlo,2-6 6-1 6-4
19870427,1987-04-27,Ulf Stenlund,Javier Sanchez,Hamburg,6-3 3-6 6-3
19870511,1987-05-11,Javier Sanchez,Emilio Sanchez,Rome,6-2 6-4
19870511,1987-05-11,Emilio Sanchez,Kent Carlsson,Rome,6-2 4-6 6-1
19870525,1987-05-25,Kent Carlsson,Yannick Noah,Roland Garros,7-6 6-3 6-7 7-5
19870608,1987-06-08,Yannick Noah,Andreas Maurer,Queen's Club,3-6 7-6 6-3
19870608,1987-06-08,Andreas Maurer,Ramesh Krishnan,Queen's Club,6-1 7-6
19870608,1987-06-08,Ramesh Krishnan,Tim Mayotte,Queen's Club,6-2 6-3
19870622,1987-06-22,Tim Mayotte,Mikael Pernfors,Wimbledon,2-6 4-6 6-4 6-3 7-5
19870706,1987-07-06,Mikael Pernfors,Emilio Sanchez,Gstaad,5-7 6-4 6-1
19870727,1987-07-27,Emilio Sanchez,Stefan Edberg,Bastad,6-4 6-0
19870810,1987-08-10,Stefan Edberg,Ivan Lendl,Montreal / Toronto,6-4 7-6
19870928,1987-09-28,Ivan Lendl,Peter Lundgren,San Francisco,6-3 4-6 7-6
19871005,1987-10-05,Peter Lundgren,Eliot Teltscher,Scottsdale,3-6 6-3 6-4
19880125,1988-01-25,Eliot Teltscher,Luiz Mattar,Guaruja,6-3 6-3
19880208,1988-02-08,Luiz Mattar,Jonas Svensson,Rotterdam,6-4 6-2
19880208,1988-02-08,Jonas Svensson,Miloslav Mecir,Rotterdam,6-2 6-3
19880208,1988-02-08,Miloslav Mecir,Stefan Edberg,Rotterdam,7-6 6-2
19880215,1988-02-15,Stefan Edberg,Jim Grabb,Memphis,6-4 6-4
19880215,1988-02-15,Jim Grabb,Mikael Pernfors,Memphis,6-3 6-1
19880229,1988-02-29,Mikael Pernfors,Andre Agassi,Indian Wells,0-6 6-2 6-2
19880229,1988-02-29,Andre Agassi,Boris Becker,Indian Wells,4-6 6-3 7-5
19880307,1988-03-07,Boris Becker,Amos Mansdorf,Orlando,6-4 6-4
19880307,1988-03-07,Amos Mansdorf,Andrei Chesnokov,Orlando,4-6 6-2 6-3
19880314,1988-03-14,Andrei Chesnokov,Yannick Noah,Key Biscayne,6-1 6-4 6-4
19880328,1988-03-28,Yannick Noah,Stefan Edberg,Dallas WCT,6-2 4-6 6-3 6-3
19880411,1988-04-11,Stefan Edberg,John McEnroe,Tokyo Outdoor,6-2 6-2
19880502,1988-05-02,John McEnroe,Diego Perez,Forest Hills,7-6 2-6 6-3
19880502,1988-05-02,Diego Perez,Luiz Mattar,Forest Hills,6-3 4-6 6-3
19880502,1988-05-02,Luiz Mattar,Slobodan Zivojinovic,Forest Hills,7-6 6-3
19880523,1988-05-23,Slobodan Zivojinovic,Mats Wilander,Roland Garros,6-2 6-7 3-6 6-3 7-5
19880620,1988-06-20,Mats Wilander,Miloslav Mecir,Wimbledon,6-3 6-1 6-3
19880620,1988-06-20,Miloslav Mecir,Stefan Edberg,Wimbledon,4-6 2-6 6-4 6-3 6-4
19880808,1988-08-08,Stefan Edberg,Mark Woodforde,Montreal / Toronto,6-7 7-5 6-2
19880815,1988-08-15,Mark Woodforde,Kevin Curren,Cincinnati,6-3 6-2
19880829,1988-08-29,Kevin Curren,Mats Wilander,US Open,3-6 6-3 6-2 3-6 6-3
19881024,1988-10-24,Mats Wilander,Amos Mansdorf,Paris Indoor,W/O
19881108,1988-11-08,Amos Mansdorf,Jakob Hlasek,Wembley,4-6 6-3 6-2
19881121,1988-11-21,Jakob Hlasek,Henri Leconte,Brussels,7-6 7-6 6-4
19881130,1988-11-30,Henri Leconte,Boris Becker,Masters,6-0 1-0 RET
19881130,1988-11-30,Boris Becker,Stefan Edberg,Masters,7-6 3-6 6-4
19890116,1989-01-16,Stefan Edberg,Thomas Muster,Australian Open,W/O
19890306,1989-03-06,Thomas Muster,Amos Mansdorf,Scottsdale,7-5 6-2
19890306,1989-03-06,Amos Mansdorf,Stefan Edberg,Scottsdale,6-7 6-4 6-1
19890313,1989-03-13,Stefan Edberg,Michael Chang,Indian Wells,6-3 6-2
19890313,1989-03-13,Michael Chang,Miloslav Mecir,Indian Wells,6-2 3-6 6-4
19890320,1989-03-20,Miloslav Mecir,Jaime Yzaga,Key Biscayne,W/O
19890501,1989-05-01,Jaime Yzaga,Ivan Lendl,Forest Hills,6-2 6-1
19890529,1989-05-29,Ivan Lendl,Michael Chang,Roland Garros,4-6 4-6 6-3 6-3 6-3
19890626,1989-06-26,Michael Chang,Tim Mayotte,Wimbledon,6-3 6-1 6-3
19890807,1989-08-07,Tim Mayotte,Jay Berger,Indianapolis,7-6 7-5
19890807,1989-08-07,Jay Berger,John McEnroe,Indianapolis,6-4 4-6 6-4
19890814,1989-08-14,John McEnroe,Ivan Lendl,Montreal / Toronto,6-1 6-3
19890828,1989-08-28,Ivan Lendl,Boris Becker,US Open,7-6 1-6 6-3 7-6
19891106,1989-11-06,Boris Becker,Jan Gunnarsson,Stockholm,6-3 7-5
19891106,1989-11-06,Jan Gunnarsson,Mats Wilander,Stockholm,6-3 6-0
19900108,1990-01-08,Mats Wilander,Carl Uwe Steeb,Sydney Outdoor,6-3 6-2
19900108,1990-01-08,Carl Uwe Steeb,Yannick Noah,Sydney Outdoor,5-7 6-3 6-4
19900115,1990-01-15,Yannick Noah,Ivan Lendl,Australian Open,6-4 6-1 6-2
19900219,1990-02-19,Ivan Lendl,Boris Becker,Stuttgart Indoor,6-2 6-2
19900305,1990-03-05,Boris Becker,Andre Agassi,Indian Wells Masters,6-4 6-1
19900305,1990-03-05,Andre Agassi,Stefan Edberg,Indian Wells Masters,6-4 5-7 7-6 7-6
19900316,1990-03-16,Stefan Edberg,Andre Agassi,Miami Masters,6-1 6-4 0-6 6-2
19900507,1990-05-07,Andre Agassi,Magnus Gustafsson,Hamburg Masters,7-6 7-6
19900514,1990-05-14,Magnus Gustafsson,Andres Gomez,Rome Masters,6-4 7-5
19900514,1990-05-14,Andres Gomez,Thomas Muster,Rome Masters,5-7 6-4 7-6
19900521,1990-05-21,Thomas Muster,Stefan Edberg,Dusseldorf,6-2 6-4
19900528,1990-05-28,Stefan Edberg,Sergi Bruguera,Roland Garros,6-4 6-2 6-1
19900611,1990-06-11,Sergi Bruguera,Fernando Luna,Florence,7-5 6-4
19900611,1990-06-11,Fernando Luna,Omar Camporese,Florence,6-1 7-6
19900618,1990-06-18,Omar Camporese,Ronald Agenor,Genova,4-6 6-3 6-3
19900709,1990-07-09,Ronald Agenor,Martin Jaite,Gstaad,7-5 6-1
19900716,1990-07-16,Martin Jaite,Karel Novacek,Stuttgart Outdoor,7-5 6-7 6-1
19900723,1990-07-23,Karel Novacek,Francisco Clavet,Hilversum,7-6 7-6
19900730,1990-07-30,Francisco Clavet,Cassio Motta,Kitzbuhel,6-3 6-4
19900730,1990-07-30,Cassio Motta,Tomas Carbonell,Kitzbuhel,6-2 6-3
19900827,1990-08-27,Tomas Carbonell,Boris Becker,US Open,6-4 6-2 6-2
19901008,1990-10-08,Boris Becker,Ivan Lendl,Tokyo Indoor,4-6 6-3 7-6
19901029,1990-10-29,Ivan Lendl,Jonas Svensson,Paris Masters,3-6 6-4 6-2
19901211,1990-12-11,Jonas Svensson,Brad Gilbert,Grand Slam Cup,2-6 6-3 6-4
19901211,1990-12-11,Brad Gilbert,Pete Sampras,Grand Slam Cup,6-3 6-4 6-2
19910211,1991-02-11,Pete Sampras,Ivan Lendl,Philadelphia,5-7 6-4 6-4 3-6 6-3
19910225,1991-02-25,Ivan Lendl,Omar Camporese,Rotterdam,3-6 7-6(4) 7-6(4)
19910401,1991-04-01,Omar Camporese,Karel Novacek,Estoril,6-1 6-3
19910401,1991-04-01,Karel Novacek,Sergi Bruguera,Estoril,7-6(7) 6-1
19910408,1991-04-08,Sergi Bruguera,Emilio Sanchez,Barcelona,6-4 7-6(7) 6-2
19910422,1991-04-22,Emilio Sanchez,Alberto Mancini,Monte Carlo Masters,6-3 6-3
19910422,1991-04-22,Alberto Mancini,Sergi Bruguera,Monte Carlo Masters,6-1 6-4
19910429,1991-04-29,Sergi Bruguera,Javier Sanchez,Madrid,3-6 6-1 6-4
19910429,1991-04-29,Javier Sanchez,Marcelo Filippini,Madrid,7-5 6-1
19910506,1991-05-06,Marcelo Filippini,Renzo Furlan,Hamburg Masters,6-3 6-3
19910506,1991-05-06,Renzo Furlan,Yannick Noah,Hamburg Masters,1-6 6-4 6-3
19910513,1991-05-13,Yannick Noah,Sergi Bruguera,Rome Masters,6-1 6-3
19910527,1991-05-27,Sergi Bruguera,Omar Camporese,Roland Garros,1-6 2-6 6-4 1-0 RET
19910610,1991-06-10,Omar Camporese,Thierry Champion,Florence,4-6 6-4 6-3
19910610,1991-06-10,Thierry Champion,Thomas Muster,Florence,4-6 6-3 6-2
19910617,1991-06-17,Thomas Muster,Carl Uwe Steeb,Genova,7-5 6-4
19910624,1991-06-24,Carl Uwe Steeb,Boris Becker,Wimbledon,6-4 6-2 6-4
19910624,1991-06-24,Boris Becker,Michael Stich,Wimbledon,6-4 7-6(4) 6-4
19910708,1991-07-08,Michael Stich,Karel Novacek,Gstaad,6-3 6-4
19910715,1991-07-15,Karel Novacek,Cedric Pioline,Stuttgart Outdoor,6-1 1-6 6-3
19910715,1991-07-15,Cedric Pioline,Francisco Clavet,Stuttgart Outdoor,6-3 6-7(3) 6-1
19910715,1991-07-15,Francisco Clavet,Michael Stich,Stuttgart Outdoor,6-4 6-2
19910826,1991-08-26,Michael Stich,Ivan Lendl,US Open,6-3 3-6 4-6 7-6(5) 6-1
19910826,1991-08-26,Ivan Lendl,Stefan Edberg,US Open,6-3 6-3 6-4
19911021,1991-10-21,Stefan Edberg,Boris Becker,Stockholm Masters,3-6 6-4 1-6 6-2 6-2
19911028,1991-10-28,Boris Becker,Jonas Svensson,Paris Masters,W/O
19920106,1992-01-06,Jonas Svensson,Magnus Gustafsson,Sydney Outdoor,6-4 6-4
19920106,1992-01-06,Magnus Gustafsson,Omar Camporese,Sydney Outdoor,6-3 7-6(3)
19920113,1992-01-13,Omar Camporese,Ivan Lendl,Australian Open,7-6(4) 6-1 6-3
19920113,1992-01-13,Ivan Lendl,Stefan Edberg,Australian Open,4-6 7-5 6-1 6-7(5) 6-1
19920210,1992-02-10,Stefan Edberg,Boris Becker,Brussels,4-6 6-4 6-2
19920217,1992-02-17,Boris Becker,Jan Siemerink,Stuttgart Indoor,6-3 6-4
19920217,1992-02-17,Jan Siemerink,Petr Korda,Stuttgart Indoor,6-4 6-4
19920217,1992-02-17,Petr Korda,Stefan Edberg,Stuttgart Indoor,6-4 6-4
19920224,1992-02-24,Stefan Edberg,Jan Siemerink,Rotterdam,7-6(5) 6-2
19920302,1992-03-02,Jan Siemerink,Pablo Arraya,Copenhagen,7-5 6-2
19920316,1992-03-16,Pablo Arraya,Alberto Berasategui,Casablanca,6-1 6-4
19920316,1992-03-16,Alberto Berasategui,Guillermo Perez Roldan,Casablanca,6-4 6-2
19920420,1992-04-20,Guillermo Perez Roldan,Carlos Costa,Monte Carlo Masters,3-1 RET
19920420,1992-04-20,Carlos Costa,Wayne Ferreira,Monte Carlo Masters,4-6 6-3 6-4
19920504,1992-05-04,Wayne Ferreira,Renzo Furlan,Hamburg Masters,6-7(3) 6-3 6-3
19920511,1992-05-11,Renzo Furlan,Michael Chang,Rome Masters,6-1 3-6 6-3
19920525,1992-05-25,Michael Chang,Nicklas Kulti,Roland Garros,7-6(5) 2-6 6-3 3-6 8-6
19920608,1992-06-08,Nicklas Kulti,Thierry Champion,Florence,4-6 6-1 6-4
19920615,1992-06-15,Thierry Champion,Francisco Montana,Genova,6-1 1-0 RET
19920622,1992-06-22,Francisco Montana,Patrick McEnroe,Wimbledon,6-4 6-1 6-1
19920720,1992-07-20,Patrick McEnroe,Richey Reneberg,Canada Masters,7-6(2) 6-4
19920803,1992-08-03,Richey Reneberg,Sandon Stolle,Los Angeles,6-4 6-4
19920810,1992-08-10,Sandon Stolle,Michael Chang,Cincinnati Masters,6-4 6-3
19920817,1992-08-17,Michael Chang,Ivan Lendl,New Haven,6-3 7-6(7)
19920817,1992-08-17,Ivan Lendl,Stefan Edberg,New Haven,7-6(2) 4-6 6-3
19920824,1992-08-24,Stefan Edberg,Petr Korda,Long Island,7-5 7-5
19920831,1992-08-31,Petr Korda,Emilio Sanchez,US Open,6-2 4-6 2-6 6-1 7-6(4)
19920831,1992-08-31,Emilio Sanchez,Wayne Ferreira,US Open,6-2 6-4 2-6 6-4
19921005,1992-10-05,Wayne Ferreira,Henrik Holm,Sydney Indoor,7-6(5) 3-6 6-4
19921005,1992-10-05,Henrik Holm,Stefan Edberg,Sydney Indoor,6-2 3-6 6-3
19921012,1992-10-12,Stefan Edberg,Alexander Volkov,Tokyo Indoor,6-3 3-6 7-5
19921012,1992-10-12,Alexander Volkov,Henrik Holm,Tokyo Indoor,7-5 6-2
19921012,1992-10-12,Henrik Holm,Ivan Lendl,Tokyo Indoor,7-6(7) 6-4
19921109,1992-11-09,Ivan Lendl,Mark Woodforde,Antwerp,6-4 6-2
19921109,1992-11-09,Mark Woodforde,Richard Krajicek,Antwerp,6-2 6-2
19921116,1992-11-16,Richard Krajicek,Goran Ivanisevic,Tour Finals,6-4 6-3
19921208,1992-12-08,Goran Ivanisevic,Michael Chang,Grand Slam Cup,6-7 6-2 6-4 3-6 6-3
19921208,1992-12-08,Michael Chang,Michael Stich,Grand Slam Cup,6-2 6-3 6-2
19930118,1993-01-18,Michael Stich,Jim Courier,Australian Open,7-6(4) 6-4 6-2
19930215,1993-02-15,Jim Courier,Derrick Rostagno,Philadelphia,7-6(5) 6-1
19930215,1993-02-15,Derrick Rostagno,Mark Woodforde,Philadelphia,7-5 7-5
